"Cuenca","Subcuenca","Estación","year(Fecha)","n","failed_params","total_params","F2","F1","F3","ICA","Latitud","Longitud"
"ALTA","AA Navarrete y Canuelas","ARROCANU1- 32",2022,10,1,10,10,10,9.20096852300242,90.2587727900671,-35.02317,-58.678714
"ALTA","AA Navarrete y Canuelas","ARROCANUHipico- 62",2022,25,1,14,12,7.14285714285714,9.833578547834,90.1386817912153,-34.977906,-58.662675
"ALTA","AA Navarrete y Canuelas","ARROCANUPel- 53",2022,10,1,10,10,10,9.09090909090909,90.293280490811,-35.060548,-58.7403
"ALTA","AA Navarrete y Canuelas","ARROCANURuta6- 54",2022,10,1,10,10,10,9.09090909090909,90.293280490811,-35.043029,-58.712825
"ALTA","AA Navarrete y Canuelas","ARROCanuEMC- 56",2022,12,1,12,33.3333333333333,8.33333333333333,20.468259573363,76.9088830307532,-34.931731,-58.62045
"ALTA","AA Navarrete y Canuelas","EMC- Máximo Paz",2022,990,1,3,3.63636363636364,33.3333333333333,3.32907120502862,80.5450641932703,-34.93171,-58.620364
"ALTA","AA Rodriguez","ARROROD- 38",2022,10,1,10,20,10,8.21000155787506,86.2469710579572,-34.9859167,-58.8840556
"ALTA","AA Rodriguez","ARROROD1- 68",2022,26,1,12,11.5384615384615,8.33333333333333,6.38976488251309,90.992153138467,-34.9582778,-58.7689722
"ALTA","AA Rodriguez","TRIBROD2- 42",2022,33,1,13,24.2424242424242,7.69230769230769,4.02133455862771,85.1330706721411,-34.9589944,-58.9687528
"ALTA","AA Rodriguez","TRIBROD3- 49",2022,13,1,13,23.0769230769231,7.69230769230769,14.7997949004801,83.5602364958953,-34.9498056,-58.9204917
"ALTA","AA de la Canada Pantanosa","ARROPANT1- 51",2022,11,1,11,9.09090909090909,9.09090909090909,3.07377049180328,92.3678842362848,-34.7625556,-58.8103889
"ALTA","AA de la Canada Pantanosa","ArroPant200- 50",2022,13,1,13,23.0769230769231,7.69230769230769,9.42679370720582,84.9376811694821,-34.76088889,-58.81919444
"ALTA","A° Cebey","ARROCEB- 39",2022,32,1,13,25,7.69230769230769,9.6036654601983,83.9122454488564,-35.054478,-58.782642
"ALTA","A° Cebey","ARROCEB1- 40",2022,16,1,16,12.5,6.25,2.24943431385598,91.8271952874989,-35.06296944,-58.78628333
"ALTA","A° Cebey","ARROCEB2- 61",2022,11,1,11,9.09090909090909,9.09090909090909,1.66574125485841,92.5150415174454,-35.0596389,-58.7851694
"ALTA","A° Cebey","ARROCEB4- 41",2022,30,1,14,30,7.14285714285714,10.8003900216754,81.1344098684935,-34.9588278,-58.7587972
"ALTA","A° Cebey","ArroCeb3- 59",2022,11,1,11,9.09090909090909,9.09090909090909,5.0761421319797,92.0194468770108,-35.01022222,-58.76516667
"ALTA","A° Morales","ARROMORA1- 37",2022,28,1,11,14.2857142857143,9.09090909090909,8.84681894757833,88.9695288648351,-34.8386167,-58.8332667
"ALTA","A° Morales","ArroElPioj- 84",2022,10,1,10,10,10,4.90196078431372,91.3581953399073,-34.869575,-58.792439
"ALTA","A° Morales","ArroLaPa200- 45",2022,12,1,12,8.33333333333333,8.33333333333333,3.54609929078014,92.8943075528318,-34.822598,-58.865775
"ALTA","A° Morales","ArroMoraRuta6- 44",2022,9,1,9,11.1111111111111,11.1111111111111,7.25689404934688,90.0067745004896,-34.872258,-58.870342
"ALTA","Río Matanza","MATYRUT3- 1",2022,30,1,12,36.6666666666667,8.33333333333333,8.18711748098189,77.7813541731018,-34.922556,-58.721361
"BAJA","A° Santa Catalina","ARROSCAT- 14",2022,33,1,12,24.2424242424242,8.33333333333333,12.1358185160291,83.6245624595846,-34.73613,-58.482117
"BAJA","A° del Rey","ARRODREYCapmoyano",2022,75,1,7,24,14.2857142857143,10.3745017284393,82.7976358124707,-34.809007,-58.414195
"BAJA","Riachuelo","ARROCILD- 19",2022,36,1,14,25,7.14285714285714,7.29149299463576,84.4090938932097,-34.679925,-58.4409694
"BAJA","Riachuelo","ARRODREY- 16",2022,40,1,14,30,7.14285714285714,13.5745858116318,80.5461538019185,-34.7260278,-58.4653056
"BAJA","Riachuelo","ARROTEUC- 25",2022,33,1,13,36.3636363636364,7.69230769230769,11.9106752104981,77.4652919086284,-34.6586278,-58.4110361
"BAJA","Riachuelo","AlivCild- 78",2022,13,1,13,15.3846153846154,7.69230769230769,5.59782780286048,89.556295983321,-34.703931,-58.460408
"BAJA","Riachuelo","CANUNAMU- 18",2022,10,1,10,30,10,15.8388599783314,79.5798883935322,-34.694246,-58.451082
"BAJA","Riachuelo","CONDEREZ- 23",2022,32,1,12,37.5,8.33333333333333,11.4726046302568,76.8525782371754,-34.6602472,-58.4202083
"BAJA","Riachuelo","CnalSMar- 80",2022,21,1,13,33.3333333333333,7.69230769230769,13.5038163060563,78.7654752595436,-34.661142,-58.406511
"BAJA","Riachuelo","DPEL1900- 22",2022,51,1,14,29.4117647058824,7.14285714285714,10.9066385113728,81.4250365631033,-34.667264,-58.428394
"BAJA","Riachuelo","DPEL2100- 21",2022,32,1,12,37.5,8.33333333333333,7.57439257071962,77.3935421291407,-34.66975,-58.431497
